0.000	1.322
0.100	1.608
0.200	1.806
0.300	1.995
0.400	2.172
0.500	2.342
0.600	2.518
0.700	2.678
0.800	2.868
0.900	3.021
1.000	3.177
1.100	3.315
1.200	3.480
1.300	3.613
1.400	3.735
1.500	3.837
1.600	4.005
1.700	4.060
1.800	4.192
1.900	4.351
2.000	4.437
2.100	4.500
2.200	4.653
2.300	4.727
2.400	4.722
2.500	4.873
2.600	5.077
2.700	5.113
2.800	5.179
2.900	5.325
3.000	5.302
3.100	5.360
3.200	5.400
3.300	5.481
3.400	5.528
3.500	5.683
3.600	5.768
3.700	5.701
3.800	5.836
3.900	5.814
4.000	5.844
4.100	5.906
4.200	6.135
4.300	6.042
4.400	6.261
4.500	6.234
4.600	6.330
4.700	6.415
4.800	6.384
4.900	6.309
5.000	6.453
5.100	6.547
5.200	6.433
5.300	6.428
5.400	6.612
5.500	6.561
5.600	6.582
5.700	6.676
5.800	6.645
5.900	6.637
6.000	6.581
6.100	6.773
6.200	6.746
6.300	6.832
6.400	6.826
6.500	6.943
6.600	6.825
6.700	6.947
6.800	6.847
6.900	6.888
7.000	6.994
7.100	7.021
7.200	6.993
7.300	6.994
7.400	7.015
7.500	6.997
7.600	7.177
7.700	7.096
7.800	7.080
7.900	7.190
8.000	7.072
8.100	7.286
8.200	7.160
8.300	7.129
8.400	7.191
8.500	7.300
8.600	7.194
8.700	7.214
8.800	7.236
8.900	7.353
9.000	7.254
9.100	7.339
9.200	7.441
9.300	7.337
9.400	7.378
9.500	7.420
9.600	7.361
9.700	7.436
9.800	7.213
9.900	7.435
10.000	7.347
10.100	7.506
10.200	7.372
10.300	7.350
10.400	7.427
10.500	7.514
10.600	7.506
10.700	7.577
10.800	7.403
10.900	7.600
11.000	7.497
11.100	7.336
11.200	7.370
11.300	7.289
11.400	7.207
11.500	7.289
11.600	7.422
11.700	7.652
11.800	7.588
11.900	7.465
12.000	7.509
12.100	7.439
12.200	7.541
12.300	7.521
12.400	7.516
12.500	7.569
12.600	7.495
12.700	7.431
12.800	7.505
12.900	7.475
13.000	7.534
13.100	7.725
13.200	7.606
13.300	7.601
13.400	7.697
13.500	7.500
13.600	7.446
13.700	7.573
13.800	7.547
13.900	7.488
14.000	7.609
14.100	7.653
14.200	7.526
14.300	7.529
14.400	7.534
14.500	7.525
14.600	7.588
14.700	7.526
14.800	7.547
14.900	7.564
15.000	7.525
15.100	7.484
15.200	7.466
15.300	7.683
15.400	7.617
15.500	7.644
15.600	7.604
15.700	7.679
15.800	7.718
15.900	7.599
16.000	7.497
16.100	7.498
16.200	7.595
16.300	7.643
16.400	7.663
16.500	7.670
16.600	7.746
16.700	7.713
16.800	7.598
16.900	7.721
17.000	7.456
17.100	7.563
17.200	7.516
17.300	7.645
17.400	7.464
17.500	7.586
17.600	7.556
17.700	7.679
17.800	7.625
17.900	7.635
18.000	7.717
18.100	7.435
18.200	7.493
18.300	7.612
18.400	7.529
18.500	7.556
18.600	7.650
18.700	7.736
18.800	7.827
18.900	7.694
19.000	7.610
19.100	7.528
19.200	7.432
19.300	7.443
19.400	7.591
19.500	7.560
19.600	7.679
19.700	7.652
19.800	7.768
19.900	7.570
20.000	7.524
