0.000	0.818
0.100	0.925
0.200	0.990
0.300	1.047
0.400	1.091
0.500	1.142
0.600	1.198
0.700	1.232
0.800	1.288
0.900	1.329
1.000	1.384
1.100	1.426
1.200	1.460
1.300	1.492
1.400	1.525
1.500	1.579
1.600	1.610
1.700	1.664
1.800	1.675
1.900	1.714
2.000	1.711
2.100	1.776
2.200	1.809
2.300	1.802
2.400	1.856
2.500	1.871
2.600	1.922
2.700	1.919
2.800	1.912
2.900	1.950
3.000	1.980
3.100	1.981
3.200	2.062
3.300	2.028
3.400	2.041
3.500	2.087
3.600	2.084
3.700	2.120
3.800	2.134
3.900	2.138
4.000	2.159
4.100	2.172
4.200	2.169
4.300	2.180
4.400	2.190
4.500	2.204
4.600	2.197
4.700	2.244
4.800	2.275
4.900	2.256
5.000	2.314
5.100	2.262
5.200	2.318
5.300	2.305
5.400	2.319
5.500	2.302
5.600	2.329
5.700	2.353
5.800	2.365
5.900	2.370
6.000	2.337
6.100	2.363
6.200	2.329
6.300	2.397
6.400	2.345
6.500	2.421
6.600	2.413
6.700	2.425
6.800	2.427
6.900	2.418
7.000	2.420
7.100	2.450
7.200	2.431
7.300	2.430
7.400	2.468
7.500	2.482
7.600	2.495
7.700	2.440
7.800	2.470
7.900	2.472
8.000	2.471
8.100	2.440
8.200	2.441
8.300	2.482
8.400	2.483
8.500	2.524
8.600	2.514
8.700	2.470
8.800	2.483
8.900	2.470
9.000	2.525
9.100	2.503
9.200	2.525
9.300	2.503
9.400	2.531
9.500	2.520
9.600	2.496
9.700	2.487
9.800	2.474
9.900	2.535
10.000	2.478
10.100	2.506
10.200	2.556
10.300	2.536
10.400	2.513
10.500	2.509
10.600	2.516
10.700	2.556
10.800	2.551
10.900	2.559
11.000	2.550
11.100	2.490
11.200	2.510
11.300	2.504
11.400	2.502
11.500	2.543
11.600	2.497
11.700	2.569
11.800	2.524
11.900	2.546
12.000	2.571
12.100	2.568
12.200	2.548
12.300	2.564
12.400	2.585
12.500	2.547
12.600	2.535
12.700	2.498
12.800	2.516
12.900	2.578
13.000	2.548
13.100	2.572
13.200	2.544
13.300	2.529
13.400	2.576
13.500	2.563
13.600	2.548
13.700	2.591
13.800	2.594
13.900	2.559
14.000	2.563
14.100	2.576
14.200	2.544
14.300	2.565
14.400	2.545
14.500	2.554
14.600	2.586
14.700	2.573
14.800	2.552
14.900	2.531
15.000	2.550
15.100	2.525
15.200	2.567
15.300	2.538
15.400	2.605
15.500	2.590
15.600	2.621
15.700	2.605
15.800	2.549
15.900	2.533
16.000	2.504
16.100	2.524
16.200	2.559
16.300	2.561
16.400	2.575
16.500	2.598
16.600	2.571
16.700	2.559
16.800	2.571
16.900	2.594
17.000	2.565
17.100	2.521
17.200	2.499
17.300	2.501
17.400	2.526
17.500	2.547
17.600	2.595
17.700	2.571
17.800	2.611
17.900	2.559
18.000	2.576
18.100	2.529
18.200	2.524
18.300	2.532
18.400	2.549
18.500	2.600
18.600	2.591
18.700	2.576
18.800	2.579
18.900	2.578
19.000	2.565
19.100	2.604
19.200	2.597
19.300	2.539
19.400	2.524
19.500	2.525
19.600	2.538
19.700	2.539
19.800	2.556
19.900	2.601
20.000	2.574
20.100	2.597
20.200	2.538
20.300	2.567
20.400	2.570
20.500	2.562
20.600	2.555
20.700	2.532
20.800	2.560
20.900	2.589
21.000	2.610
21.100	2.588
21.200	2.608
21.300	2.620
21.400	2.606
21.500	2.596
21.600	2.553
21.700	2.556
21.800	2.541
21.900	2.573
22.000	2.570
22.100	2.525
22.200	2.572
22.300	2.597
22.400	2.535
22.500	2.537
22.600	2.543
22.700	2.537
22.800	2.576
22.900	2.532
23.000	2.565
23.100	2.554
23.200	2.568
23.300	2.576
23.400	2.578
23.500	2.588
23.600	2.605
23.700	2.540
23.800	2.573
23.900	2.527
24.000	2.512
24.100	2.533
24.200	2.558
24.300	2.511
24.400	2.556
24.500	2.533
24.600	2.553
24.700	2.587
24.800	2.562
24.900	2.573
25.000	2.537
