i,t,Vc,Vr,Ir
681,0.00272,0.244,0.0648,0.054
682,0.002724,0.244,0.0656,0.054666667
683,0.002728,0.244,0.0656,0.054666667
684,0.002732,0.244,0.0648,0.054
685,0.002736,0.244,0.0648,0.054
686,0.00274,0.244,0.0656,0.054666667
687,0.002744,0.244,0.0648,0.054
688,0.002748,0.244,0.0648,0.054
689,0.002752,0.244,0.0656,0.054666667
690,0.002756,0.248,0.0648,0.054
691,0.00276,0.244,0.0648,0.054
692,0.002764,0.244,0.0648,0.054
693,0.002768,0.244,0.0656,0.054666667
694,0.002772,0.248,0.0656,0.054666667
695,0.002776,0.24,0.0648,0.054
696,0.00278,0.244,0.0656,0.054666667
697,0.002784,0.248,0.0648,0.054
698,0.002788,0.244,0.0656,0.054666667
699,0.002792,0.244,0.0656,0.054666667
